Accession number,Identifier,Birthday,Gender,Address,Phone,First Name,Last Name,Height,Weight
123456,NYCU01-D3BRR4NJ,NYCU01-D3BRR4NJ,NYCU01-D3BRR4NJ,123 Main St,123-456-7890,NYCU01-D3BRR4NJ,NYCU01-D3BRR4NJ,175,70
234567,NYCU01-4RBGGF7M,NYCU01-4RBGGF7M,NYCU01-4RBGGF7M,456 Elm St,234-567-8901,NYCU01-4RBGGF7M,NYCU01-4RBGGF7M,162,58
345678,NYCU01-4GNHRF4J,NYCU01-4GNHRF4J,NYCU01-4GNHRF4J,789 Oak St,345-678-9012,NYCU01-4GNHRF4J,NYCU01-4GNHRF4J,180,85
456789,NYCU01-PM8GN3CH,NYCU01-PM8GN3CH,NYCU01-PM8GN3CH,101 Pine St,456-789-0123,NYCU01-PM8GN3CH,NYCU01-PM8GN3CH,168,62
567890,NYCU01-TPMVLP4A,NYCU01-TPMVLP4A,NYCU01-TPMVLP4A,202 Maple St,567-890-1234,NYCU01-TPMVLP4A,NYCU01-TPMVLP4A,178,75
678901,NYCU01-YK2GYM49,NYCU01-YK2GYM49,NYCU01-YK2GYM49,303 Cedar St,678-901-2345,NYCU01-YK2GYM49,NYCU01-YK2GYM49,160,55
789012,NYCU01-6FMLH3HF,NYCU01-6FMLH3HF,NYCU01-6FMLH3HF,404 Birch St,789-012-3456,NYCU01-6FMLH3HF,NYCU01-6FMLH3HF,172,78
890123,NYCU01-4ETR93W7,NYCU01-4ETR93W7,NYCU01-4ETR93W7,505 Walnut St,890-123-4567,NYCU01-4ETR93W7,NYCU01-4ETR93W7,165,68
901234,NYCU01-23UTQCXR,NYCU01-23UTQCXR,NYCU01-23UTQCXR,606 Spruce St,901-234-5678,NYCU01-23UTQCXR,NYCU01-23UTQCXR,176,80
012345,NYCU01-YF21AQ9B,NYCU01-YF21AQ9B,NYCU01-YF21AQ9B,707 Chestnut St,012-345-6789,NYCU01-YF21AQ9B,NYCU01-YF21AQ9B,164,63
